	count	db	C3L-01287.norm	C3L-00561.norm	C3L-00561	C3L-01287	C3L-01603	C3N-01524	C3L-01603.norm	C3N-00834.norm	C3N-01214.norm	C3N-01214	C3N-00834	C3N-01261	C3N-01261.norm	C3L-00917	C3L-00917.norm	C3L-00607.norm	C3L-01861	C3N-00194.norm	C3L-00010.norm	C3L-01352	C3N-00194	C3L-01861.norm	C3L-00010	C3L-00607	C3N-01646.norm	C3N-00495	C3L-01281.norm	C3N-00831	C3N-00495.norm	C3L-01281	C3N-01646	C3N-00831.norm	C3L-00791	C3L-00369	C3L-00183	C3L-00183.norm	C3N-01180	C3N-00168.norm	C3L-00369.norm	C3L-00791.norm	C3N-00168	C3L-00097.norm	C3L-00004.norm	C3N-00953.norm	C3L-00004	C3N-00150	C3N-00150.norm	C3N-00953	C3L-00097	C3L-00583	C3N-00244.norm	C3N-01178.norm	C3N-01178	C3L-00088	C3N-00244	C3L-00583.norm	C3L-00088.norm	C3L-00814.norm	C3L-00908	C3L-01885.norm	C3L-00814	C3L-01885	C3L-00026	C3L-00908.norm	C3L-00026.norm	C3L-00447.norm	C3L-00447	C3L-00416.norm	C3N-00246.norm	C3N-00148	C3N-00148.norm	C3N-00246	C3L-00416	C3L-00096	C3N-00646.norm	C3L-00765	C3L-01836	C3L-00902.norm	C3L-00096.norm	C3L-00902	C3N-00646	C3L-01836.norm	C3N-01175	C3L-00011	C3N-00177.norm	C3N-01200.norm	C3L-00011.norm	C3N-01175.norm	C3N-01200	C3N-00177	C3N-01176	C3N-01808.norm	C3L-00103	C3N-01176.norm	C3N-01649	C3N-01808	C3L-00103.norm	C3N-01649.norm	C3N-00149	C3N-00149.norm	C3L-00581.norm	C3L-00817	C3L-01313.norm	C3N-00573	C3L-00581	C3L-01313	C3N-00573.norm	C3L-00360	C3L-01302.norm	C3N-01361.norm	C3N-01361	C3N-01651.norm	C3N-01651	C3L-00360.norm	C3L-01302	C3L-00907	C3L-00448.norm	C3L-00907.norm	C3L-01286.norm	C3L-01607.norm	C3L-01607	C3L-00448	C3L-01286	C3N-01179	C3L-00606	C3N-01179.norm	C3L-00606.norm	C3N-01648	C3N-00242	C3N-01648.norm	C3N-00242.norm	C3L-00418.norm	C3N-00577.norm	C3L-01882	C3L-01882.norm	C3L-00418	C3N-00733.norm	C3N-00733	C3N-00577	C3L-00910.norm	C3L-00079.norm	C3N-01522	C3N-01522.norm	C3L-0079	C3N-01220.norm	C3N-01220	C3L-00910
(R)-mevalonate biosynthesis	3	HMDB/SMPDB	4336.993683239668	6003.661505649597	2746.5279410728804	1980.33280166835	9160.575020521836	8799.592020237296	2502.8944115753834	4397.596359418709	2685.893887958355	7799.015015996883	7823.037769578215	8450.379682800043	7226.67004780751	8136.09881583205	6223.104890694343	7172.077940740091	9263.062580334139	6266.006089366662	6046.765371396424	3770.9713695803202	6238.1064672258935	4877.151777930119	8597.674666158397	4773.348758379332	17.130535589396043	4618.735994367789	6751.8858670392365	7998.367100781696	6378.398605788062	7176.130715514544	7572.10163822749	7261.970896266754	5892.433487591515	8469.905802511952	7916.141576455865	6448.500033333152	6312.630901185695	322.317876675033	8942.833472248318	5202.691231056108	6592.404352261377	7141.385155996573	6892.039584803241	7921.36173465519	7382.14185912931	8157.427497099753	8275.698607262204	6416.067858803784	8489.344771673937	8099.548129066141	7637.4993452365015	17.648096497754516	8271.223013408699	6586.310208316734	7638.092433910126	5406.482921187585	5181.360911595015	8758.825811582927	7474.509248046357	7720.915389992425	5263.294350225311	3594.0379500522304	63.303054022975935	7516.728747735821	8061.129607572475	5682.309009809182	6547.782337272272	5515.814584413563	5082.811896598479	8778.039240357	5772.280907694084	8769.981419323301	6731.2478242137695	6351.549549436849	6895.96121358748	8226.59945962895	7639.773695095848	4757.293650199161	870.4063194584619	8113.044123725022	6631.367157038042	8.032376228453925	3673.677583759455	5913.401724604333	8357.264361962554	7737.56963377826	6702.757810075398	4708.166376316292	6896.876706641927	8780.547896354423	7296.968619501438	5782.373009387868	7408.093720741871	6309.157504970864	9347.014647613596	9212.556705752122	7955.8696434312915	6972.028070509859	5854.394132472287	8753.576893804508	6028.11668660471	6880.744085160207	6492.0485501519315	9008.373744153458	7203.468412321528	1823.3619001343607	7726.440411888355	6231.9352488901395	6254.723018220629	27.643753641018243	6547.583285884035	7300.176876271299	6039.691559933402	4493.084155259233	9011.00991408373	6341.436983804218	8163.822920316209	4734.58436553678	6023.755162179911	8345.231817380381	7028.859059428897	8956.48804371758	6839.946613433487	8070.135790378929	3438.6531433340597	6582.993255017193	1668.290279879836	8906.81222937542	6850.827746887312	4929.486627361768	5634.641450723766	5415.766181299669	4938.375114014397	8686.588808110797	5494.988551775945	6152.6075095391125	7415.920621041086	4340.791561171246	7647.755151264664	4988.655852743354	7608.304109676289	7088.838127019866	6803.064024547528	8685.057881579656	5588.433852858609	7417.440427946616	8657.368270700392
(R)-noradrenaline biosynthesis	1	HMDB/SMPDB	9310.0	8527.0	7532.000000000001	7954.999999999999	244.0	317.0	4032.9999999999995	2839.0	3122.0	137.0	7647.000000000001	4792.0	5211.0	2059.0	9142.999999999998	4378.0	3239.0	6262.999999999999	2867.0	8337.0	1338.0	6848.999999999999	138.0	6971.0	4016.0	1831.0	1156.0	8817.0	801.0	7515.999999999999	993.0	9839.0	6908.0	4828.0	4154.0	4876.0	6420.000000000001	2428.0000000000005	6083.0	3634.0	976.0	5131.999999999999	2035.0000000000002	5692.0	6934.0	849.0	1802.0000000000002	3044.0	2176.0	1359.0	3142.0	4213.0	6515.000000000001	5023.0	3971.9999999999995	1983.0	5097.0	6094.0	1950.0	5538.0	4200.0	2124.0	2736.0000000000005	3407.0	3812.0000000000005	5098.0	962.0	2938.0	6012.0	5323.0	3569.0	2685.0	5968.0	9314.999999999998	3085.0000000000005	904.0	7814.000000000001	4173.0	9220.0	553.9999999999999	679.0	3711.0000000000005	6416.0	5504.0	8593.0	4692.999999999999	4842.0	1550.0	7131.0	93.0	885.0000000000001	2857.0000000000005	3248.0000000000005	4208.999999999999	5238.0	1552.0	7918.0	3241.0	3019.0	4855.999999999999	2681.0	2411.0	6220.0	3675.0	1890.0	5873.0	3020.0	8627.0	3993.0	1627.0	7481.0	1464.9999999999998	6021.0	492.0	2093.0	204.0	4207.999999999999	7712.0	1657.9999999999998	5445.0	2202.0	3887.0	3648.0	2429.0	8156.000000000001	5343.0	3279.0	7896.0	6660.000000000001	8677.0	8035.000000000001	4739.0	540.0	985.0000000000001	8747.0	4544.999999999999	1556.0	6507.000000000001	1732.0	5675.0	6805.0	6936.999999999999	4404.0	6288.0	2587.9999999999995	1153.0000000000002	822.0
(S)-3-hydroxy-3-methylglutaryl-CoA degradation	2	HMDB/SMPDB	191.0	233.0	9208.0	9744.999999999998	9917.000000000002	9949.0	447.0	185.99999999999997	1336.0	9559.0	9600.0	10115.0	313.0	9898.0	279.0	200.0	9735.0	307.0	2626.0	9877.0	10031.000000000002	252.99999999999997	9984.999999999998	9193.0	234.00000000000003	9767.0	8698.0	10057.999999999998	1251.9999999999998	9818.0	9546.0	290.0	9322.0	9888.0	9966.0	248.0	9041.0	142.0	964.0000000000001	311.0	9945.000000000002	234.99999999999997	1527.0	237.99999999999997	9542.0	9799.0	1046.9999999999998	10005.0	9850.0	9850.0	211.00000000000003	208.0	9662.999999999998	9954.0	9896.999999999998	914.0	376.0	507.99999999999994	9953.0	220.99999999999997	9737.0	10075.0	6568.999999999999	256.0	3097.0	206.99999999999997	9694.0	7947.999999999999	90.99999999999999	9814.999999999998	265.00000000000006	9823.000000000002	9951.0	9338.0	296.00000000000006	9994.0	9003.0	919.0000000000001	1021.0	9999.0	10063.000000000002	253.99999999999997	9182.0	9608.000000000002	408.0	8784.999999999998	258.0	203.0	10029.0	9309.000000000002	9868.0	166.0	10043.0	183.0	9555.0	9401.0	1864.9999999999998	923.0	9642.000000000002	9681.999999999998	286.0	10093.0	510.00000000000006	9662.999999999998	9802.0	9617.0	236.0	9979.0	296.00000000000006	133.0	9987.999999999998	311.0	9620.0	2871.0	9948.0	9446.000000000002	180.00000000000003	313.0	252.99999999999997	9680.0	9872.0	9958.000000000002	9591.0	9943.0	8811.0	130.0	9182.0	9165.999999999998	9795.0	430.0	844.9999999999999	206.99999999999997	4720.0	10033.0	212.0	9854.0	800.0000000000001	9906.000000000002	9199.0	340.00000000000006	9072.0	9611.999999999998	160.0	9537.000000000002	303.0	9953.0	9957.0
11-beta-hydroxylase deficiency (CYP11B1)	11	HMDB/SMPDB	1491.7136847556033	61.54179352536087	2370.0027655602826	9060.187244108922	8896.155494390747	3345.562749197973	942.8572073030965	369.320382624439	6971.57775368462	5929.976492168138	4762.333682390998	1734.9386083251338	2351.491536243786	1504.7613080742549	2917.1148657685794	2587.844531447823	3398.2825364391433	1375.281546314385	408.1417113918236	9205.329542286261	887.2902133995797	402.3946412355708	7619.068281890987	122.7956709261156	921.8579665576566	6199.994313270472	70.53474981258303	7754.89757478484	1281.8329064757431	9416.320934790207	7235.98149517218	2129.691439756162	9828.11285468442	9583.596369120592	9242.72262639854	1416.8641485025007	186.26343591130976	964.4121611725111	1591.0304092115598	891.2284006328636	9416.404404665655	1236.233911543518	1197.3082082221954	1607.1492351746613	9553.769280816707	4697.761316651623	2006.0934771416369	6467.050068450869	8024.1372072753675	9349.831717186024	2606.4339917769826	1633.237646708922	9425.092329502071	6086.795726974875	8892.993231582577	706.05474242054	1650.8293476568656	150.3325489797835	8672.149750764134	359.23684688885595	8601.093926971153	7781.792518850159	7605.784365604023	980.038157740355	484.2668338184034	1384.7277719529213	8482.924334066618	2927.5122803371423	455.72833772620476	8410.779655280203	1280.161480108918	7688.946341633999	9081.837657723214	9593.441475097752	1580.7247264416342	8623.280134033377	9939.187074512478	1046.430618956871	819.6352483271419	6735.586105310071	3462.4025057183253	164.09769595845546	672.4432422415534	7240.690719368485	751.9658603653996	9205.3244779229	2580.131396435792	790.9488653904962	3141.596522991304	7034.761302575438	5163.3960414635485	833.410388741469	9665.971975984485	372.3229267718892	8854.940252006469	3164.974571511495	1185.186725361655	901.002690266253	7382.590132105154	8707.073747514334	332.5406872573472	2838.5997562157854	183.06841881563093	1010.5334346033428	8272.506467212002	7533.649613495333	474.1717352960166	9722.826073716044	844.0280126351496	258.79101696386203	8836.73123680893	1408.5321317262549	5851.3517849918435	1067.2762985333823	8258.303853429992	4525.155130554476	1241.4266038678493	2323.3226392287024	453.20385774090647	2623.258302109356	8698.791938565459	5545.946507685459	9272.500989513373	9547.719392849998	3408.7453693347366	32.94339673343436	272.7841223586467	6455.544926333985	9076.897217187498	998.5145656586819	5892.8597417837145	844.0230813008725	493.83786385379824	8809.57682452392	789.3967381636016	5978.5795635346385	511.14076926745736	2327.1350543290887	3661.3492150138472	543.5238762392663	8091.578413184031	9530.59236057295	213.38331855225567	9138.521189822126	1804.6540049295743	5567.0334741975985	3918.5096058173535
17-Beta Hydroxysteroid Dehydrogenase III Deficiency	12	HMDB/SMPDB	280.09795110984635	3.751361365942228	8726.788587659124	9390.364548217429	9227.941588932566	9320.108106736487	4422.964006050516	57.9540014790383	3005.3754384797053	8749.423379401387	9887.941439498267	9800.519132333935	1904.7103531148787	8432.192262570445	3398.4266312858904	1693.7900240181527	8568.910423180992	9178.093054922681	401.2073968298808	9664.620123743734	8058.554970234516	263.88195668770777	9553.058064202432	9155.348219749978	1416.4206298945194	8980.0940947355	7.132255604969083	8844.121185138318	641.810901036956	9943.086011992418	9963.115992439247	4219.17720397528	9026.757994424335	7338.566416699718	7939.036241219159	6099.7153540094	76.41174932231104	920.281964503814	2904.7979991226734	552.2365890360505	6121.220257541289	486.96262950700554	620.9618517382681	2184.5157002532633	9803.449806446219	9073.673296297973	4354.013329774866	9544.539247627932	9611.989316003363	9183.446740825502	1585.4869322755546	1912.3203449363284	9730.115101093525	9720.951122490467	9849.532619168336	384.68109382964934	1101.62967969948	24.505487392789075	9925.65512858733	26.172248733569585	10030.5461315177	8709.424092881965	9899.457047448099	6460.743380854993	22.09002215587566	1259.198660548687	8149.918743334951	2584.326914182147	162.56618858335617	9677.154313251838	363.79336299248473	9040.465977720354	9880.74120707542	7497.494634284199	3610.6579471875207	9752.371549308864	10158.39628866512	362.37004039065755	9419.454000546502	7388.823330009629	10207.100709019292	60.938742878912734	7922.325952308335	8808.482586068772	1140.4704339757375	3040.7824532025584	6074.598417713393	75.70345553534862	9530.145166667677	9374.55182609693	10144.337920592547	300.0922364594182	7097.262713913256	1227.570223556358	9990.579824395609	10058.227831038146	4485.119110498176	323.8837615769819	7784.993281168592	6303.785768681248	1131.5457873784803	9692.750765322662	450.4221039752049	8982.834497920443	9944.590918981583	9375.345011300336	419.00940764216983	9711.807843646238	1498.6737797977974	541.6622539443011	9042.818739639186	7270.5105519022945	56.93266241135754	173.97037743378235	8647.086193682791	9614.506855305905	1144.4992103043783	384.55598649072954	154.5149306138051	923.4520921802659	10023.43295477824	9921.774054912508	2767.472654921595	9440.242839888278	9683.576716853842	3.624025428108985	168.2880769825227	8602.011067512325	9017.658058209407	8751.891626102613	6127.210155398797	412.6485601704766	835.0616499233627	9471.518264394024	518.5043660541262	9436.269678746787	358.9518974990694	10000.996141544461	81.64728657087258	414.8311531782653	8174.529399708036	9182.953308511815	10.054817065838725	9740.273356282321	2144.572484997801	8771.257690519957	2772.442924475268
17-alpha-hydroxylase deficiency (CYP17)	11	HMDB/SMPDB	1491.7136847556033	61.54179352536087	2370.0027655602826	9060.187244108922	8896.155494390747	3345.562749197973	942.8572073030965	369.320382624439	6971.57775368462	5929.976492168138	4762.333682390998	1734.9386083251338	2351.491536243786	1504.7613080742549	2917.1148657685794	2587.844531447823	3398.2825364391433	1375.281546314385	408.1417113918236	9205.329542286261	887.2902133995797	402.3946412355708	7619.068281890987	122.7956709261156	921.8579665576566	6199.994313270472	70.53474981258303	7754.89757478484	1281.8329064757431	9416.320934790207	7235.98149517218	2129.691439756162	9828.11285468442	9583.596369120592	9242.72262639854	1416.8641485025007	186.26343591130976	964.4121611725111	1591.0304092115598	891.2284006328636	9416.404404665655	1236.233911543518	1197.3082082221954	1607.1492351746613	9553.769280816707	4697.761316651623	2006.0934771416369	6467.050068450869	8024.1372072753675	9349.831717186024	2606.4339917769826	1633.237646708922	9425.092329502071	6086.795726974875	8892.993231582577	706.05474242054	1650.8293476568656	150.3325489797835	8672.149750764134	359.23684688885595	8601.093926971153	7781.792518850159	7605.784365604023	980.038157740355	484.2668338184034	1384.7277719529213	8482.924334066618	2927.5122803371423	455.72833772620476	8410.779655280203	1280.161480108918	7688.946341633999	9081.837657723214	9593.441475097752	1580.7247264416342	8623.280134033377	9939.187074512478	1046.430618956871	819.6352483271419	6735.586105310071	3462.4025057183253	164.09769595845546	672.4432422415534	7240.690719368485	751.9658603653996	9205.3244779229	2580.131396435792	790.9488653904962	3141.596522991304	7034.761302575438	5163.3960414635485	833.410388741469	9665.971975984485	372.3229267718892	8854.940252006469	3164.974571511495	1185.186725361655	901.002690266253	7382.590132105154	8707.073747514334	332.5406872573472	2838.5997562157854	183.06841881563093	1010.5334346033428	8272.506467212002	7533.649613495333	474.1717352960166	9722.826073716044	844.0280126351496	258.79101696386203	8836.73123680893	1408.5321317262549	5851.3517849918435	1067.2762985333823	8258.303853429992	4525.155130554476	1241.4266038678493	2323.3226392287024	453.20385774090647	2623.258302109356	8698.791938565459	5545.946507685459	9272.500989513373	9547.719392849998	3408.7453693347366	32.94339673343436	272.7841223586467	6455.544926333985	9076.897217187498	998.5145656586819	5892.8597417837145	844.0230813008725	493.83786385379824	8809.57682452392	789.3967381636016	5978.5795635346385	511.14076926745736	2327.1350543290887	3661.3492150138472	543.5238762392663	8091.578413184031	9530.59236057295	213.38331855225567	9138.521189822126	1804.6540049295743	5567.0334741975985	3918.5096058173535
2-Hydroxyglutric Aciduria (D And L Form)	22	HMDB/SMPDB	2514.123140875869	2119.1489588582645	3113.0847918496333	5928.323578839002	6761.803334999636	6487.1233084388205	1793.4724645829592	1690.9314315646154	3105.58052652417	4966.295651539419	1944.660576531969	6937.321423467742	1976.9819510401842	4268.6106066559905	602.8683350390304	1052.5144460653833	2648.0199458238203	3724.945819679432	3383.6210649530476	6287.489680865821	3114.2738115105917	1706.611745616351	6533.809042965317	3273.0032501749192	2193.2507477610566	2902.738188883423	7344.804085654044	6771.797995227903	3424.9039635486315	5578.202346532441	5151.41250596773	2385.811817647376	5023.452094492035	6783.6204068015395	4745.716263948155	3040.9770420175087	2020.9882782112502	2982.611253057567	3635.0653402481994	1457.8816784288654	4451.813039301145	994.8996738109516	3182.3305058556234	1132.1894505248279	4174.124644424661	6527.4510846345165	5379.966878226483	4583.073633546961	6319.166094806064	4410.598848365355	1536.1131188653449	616.626974292126	6159.62743790704	3171.149298280598	6702.693412754681	3133.9224820250884	2084.5137970306596	3802.992270344025	4628.636171751448	1627.9535662024177	4648.021740661698	5142.094123934511	4450.259943383955	884.3017605177735	4158.119478044832	2403.364315710543	5200.463604665863	6596.562645158247	602.8466542536219	6584.443390852251	499.148407771371	4360.320524718607	6111.981406499582	5073.10630962873	1694.1160721970252	6607.758613625057	6450.21973426258	3342.7749632484674	5763.789886621186	5811.619646960772	7041.490708581698	836.5199993977837	5132.530150693069	5899.957652483201	1817.2085528032603	7297.459498415734	2149.7969781175043	519.9268030228512	4833.013798699288	3212.037368463665	3813.349670026305	2378.2521030574107	5498.938207593148	520.0788392333601	7626.003819173316	1841.5004957311037	6313.653398866443	860.4540647984903	4821.277215446123	7289.063102242722	2050.5068989125234	6932.329700384249	1624.9125946450974	3433.7263886051815	5335.375629670475	5856.174100457845	1651.436849768252	5327.655207431452	2265.0738376007603	1989.3155923824895	6855.62817074401	1147.438681802112	4015.6797050183295	4823.576156515765	5827.973233640184	4461.106399383569	765.5843865596071	2859.7233106052295	1868.4515632493408	7737.616722205899	7185.775984695312	5335.723807982841	6621.39075273225	6302.324193985445	4857.907909240759	323.4584530298068	6887.190882638801	6084.4211297764305	6911.376491202496	1697.6737787470802	4019.3308818298688	653.5079834643457	7386.245502539549	6647.691016208696	2208.4493149882155	3836.1254303762903	2940.545413294056	5859.487518352119	6400.063872235628	873.5024656543928	7609.201036358932	4310.645825257579	1902.848253308632	6278.369497992217	3147.190010833761	5617.947981743414	2020.9891701816578
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	30	HMDB/SMPDB	698.2047759685087	1515.9052709138678	8598.295337118438	8955.051063854358	9678.065741214637	9232.39269754173	1319.709711122796	972.5730100857729	3505.323072354944	9127.170785857668	9377.705191742178	9530.958585353163	1122.9880234944605	9462.376028682806	1190.1565968030784	1006.9607883755752	8117.13000412753	2476.5462295472676	1821.1863457488248	9419.094012034364	9322.857727223896	805.5962383078638	9847.738663182081	8622.477952577841	1238.1653327386084	7395.961430498098	7739.936042232628	9518.202160510215	2156.4645570426514	9549.58447189876	9537.519587104982	1041.7560246160347	9007.935307587863	9107.214789206728	9192.205701351768	1335.2299845395537	6160.344525962772	964.7868686467765	2395.1867165052718	1214.3717051916121	9379.809482676998	1219.9144178461454	1752.441938867468	804.5146940108347	9125.738769796637	9302.46281011213	3928.0391018329206	9795.090220970522	8443.797014708636	9438.44346226589	1168.6948002735387	791.6745500985834	9353.25565345829	9100.77436438055	9426.845853084676	1930.4675077529107	2277.127862723425	2212.917412962195	9638.830118034659	927.6839052316894	9467.678163455756	9372.516946750722	3118.500094603226	1189.0734229769291	1578.1718976002394	746.2495242530807	9656.133256850275	7547.064572536021	742.6829891687416	9226.201321967143	688.9937743566474	9856.20267827319	9588.281675946248	9690.468525473683	1210.8822241370372	9712.03251233586	8512.42661423912	1559.819472713156	4378.07571639129	9281.571679086475	9253.890268613006	1061.4133358931138	2172.2274722930647	9424.19190431076	1300.8953000573945	9091.697550709685	1318.761808820966	848.2155836092396	9726.325957429377	8610.91108967459	9520.663166094799	1372.5758172088051	9715.811412763258	581.0472344301071	9400.223730994323	8583.598121722507	4940.158350911877	1053.193866413232	9042.787470699413	9480.540326499737	1492.385024993784	9796.797854505317	1556.672473740005	8992.357376356174	9122.423156094133	9169.58641426418	812.2190138361691	9810.589128894982	1592.2251093252682	666.1576536954099	9529.822043178961	1361.74497742892	8674.644567379652	2633.51598118154	9078.753516433513	8266.71268347916	1013.4124043885299	1266.7388799248113	1342.7036946984279	9494.851761809354	9618.24671039836	9414.114924954258	8990.254839881742	9424.70132685902	9255.680393278464	994.6851294382093	6915.584755315056	7186.669387534069	8870.458862997451	2480.115996469636	1541.2196914944407	1044.9511610894224	2885.3517886058867	9333.606949783829	1107.2350241792963	9290.482839705088	2459.290518276348	9446.030128900986	8547.501099648502	992.4136581017892	9032.321804042836	9306.765397979954	1096.079103551589	8964.613437898492	1862.7315603324628	8679.617744110848	8474.411226779805
2-Oxocarboxylic acid metabolism	15	HMDB/SMPDB	1858.022249752961	3141.1784873661854	7018.291451474972	7820.333441942322	8050.997925577656	5070.366303307025	2493.3086956058355	1876.1783860250612	3794.559595168957	7595.206477038961	9045.977511921728	8352.57976356815	1356.5176541232258	8706.636099531754	1946.6890932884553	1827.0868544262635	6053.083017509406	2589.3611554892295	2004.1046799027579	7079.7794771136205	8014.85323048945	2519.3545339143525	7097.981271485417	7326.796805565688	2721.9865409143904	3640.8356048961514	6549.860066962379	5296.352392483536	2269.377645380251	8269.68785363157	8579.60576505815	2623.5012727396665	7665.821372131103	7831.819849477872	7889.106141914064	1670.5069880748601	3720.5312220372675	3089.24207039845	3343.730512383456	2756.022583564583	7755.300646937397	2619.529467403284	4464.59696712082	3390.6501845073867	8424.637666848585	7717.036745489817	3885.689132718891	8422.610836798243	7948.701388225703	8409.352114304487	2884.1145671324375	2124.8131347338617	8270.097324917666	6715.801790846714	8667.940012639569	1806.0795839398477	3300.5236701545928	3471.218818763705	9024.667884975768	2222.3461075301857	8048.629119759361	8285.546585230912	998.3141354701263	2181.5693556033652	3348.0686854736196	2114.256486487252	8528.896501250983	7378.684912249606	1050.387094733094	8018.066456211895	1691.0701839505139	8976.07293841861	8953.01040091451	8317.400855343682	2792.727048994204	7276.6820306505815	5785.320515053911	2388.4701909626983	2728.6325823036977	7747.928331396565	7707.387714886462	1613.7646981373375	554.7072668636555	7758.371802270586	1723.5376939549737	6789.726309864006	2402.5338636733795	2368.8450552299996	8180.223859949321	8067.96952983517	8493.89564306129	2529.501064028903	8762.026765610639	2088.3593681687794	8515.298826098184	7653.946690158949	5133.996719978579	945.8811155540807	3458.2015756538394	8072.133861665314	2354.562296131825	9202.658681517722	1682.4529160247062	6579.356923297403	6156.196082183192	7555.538534682465	1468.2026537647196	7754.338131005873	3253.983936746594	1693.679124213019	8603.771134205394	2546.6135445250093	7159.43591814827	4176.279491081455	6280.788823415512	4355.27129876402	2945.9527541746093	1299.0120786068699	4828.435453615956	8624.18669879152	8921.612944337088	8519.673831736376	8510.193668604834	7546.938376612036	8636.40633754878	2553.330881099871	4017.6956457787164	3299.761033685055	8039.854028527549	1898.7111323504178	1292.5085293974716	2524.556070576151	4506.658271584683	7820.757094508992	2965.068060757329	8718.92271025963	2059.6126217391534	8725.492357915164	7371.048950690853	2075.340225305019	8635.530106456641	8937.58962422724	2290.507008104567	7348.933959681344	2597.296422015133	3141.9686656959884	6622.100503178047
2-aminoadipic 2-oxoadipic aciduria	13	HMDB/SMPDB	806.4357619519253	1264.4997907597756	8546.33543350211	9598.352154270817	9836.609455813857	9306.726994989884	1078.301025969188	769.0527133462168	2902.314969571506	9404.089916552915	9626.51016652534	9770.219160926068	695.1838479889591	9627.490330765932	625.5260220511506	1066.9903534916314	8804.85779600769	3117.7213204951745	2639.023773120559	9584.491934173713	9677.251885441214	951.7680811478917	9926.105065668231	9348.374409307926	912.3502271893041	8421.712609623415	8354.444830338634	9855.604090402196	718.5204582831324	9562.087285855961	9499.418813901457	1038.9261743508328	9471.899403901727	9444.414855074107	9626.546514247746	914.7255510151565	9187.559666890314	536.0556920230244	5025.623394223551	1211.0967076175343	9652.939733526764	922.8524638607938	3668.5357023787715	799.7274079154362	9255.558821768978	9535.221775604807	3650.230782019702	9891.48251422913	9330.553153716774	9774.185076344273	1228.075764636473	940.1325848831582	9704.907095418746	9304.931201775726	9701.653239114145	1474.6113513570533	1995.8402213407594	2380.510479322964	9852.069095657129	796.9355591880066	9653.506988537005	9544.084194789246	5433.820496151736	1301.4026795522607	2215.705115084552	925.1669220402678	9779.867929430924	7051.261553829053	571.1610533029461	9613.902159152532	715.7249847497203	9927.046646894225	9576.079031875162	9393.881181312541	831.0955901072751	9975.308936120306	8633.33982824135	1659.907209874875	3472.709110462185	9761.89015545359	9889.459906762248	952.217235113177	1040.547556701396	9796.968263492874	1402.8700832090024	9527.770378319608	1746.9529798648712	616.2253022677487	9934.082745644035	8516.294882186963	9656.225235949754	1036.9452485286524	9840.242605438149	603.9663300758698	9660.980118483187	8984.236541538845	3306.922340074488	1208.6656575615518	9544.627932472336	9702.014589452148	646.2675512806359	9913.661124843846	1585.1253208768967	9211.558617543677	8205.851794670612	8930.088078560306	466.80430380518374	9649.891264258573	859.1939778366537	1858.7566222736984	9888.375484474542	1290.5882287670286	9519.722696639858	3322.7773826209377	9926.655725636941	7369.249168178602	978.5974740691632	1518.6259905596553	1842.9156142717127	9776.956733084615	9722.168451414578	9785.385982225258	8665.723813670882	9497.171540543797	9430.931215720737	836.4579652702166	8804.53477840487	9425.833221055987	9407.774503486773	2080.5645946582304	1526.393284177923	867.4824806079695	5112.310223757481	9813.910075628184	1575.0185036523305	9474.447210483802	2465.269199606961	9544.215147457473	9484.48257250676	734.8315782656188	9127.496057940143	9691.546312752038	973.4549638733882	9566.16633118828	1588.2346233963044	9617.288925129	9357.245301844176
